Placement,Model
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Financial|Standard Edition|45298091|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Learn More|Standard Edition|45298091|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Test Drive|Standard Edition|45298091|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Brochure|Standard Edition|45298098|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Configure|Standard Edition|45298098|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Financial|Standard Edition|45298098|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Learn More|Standard Edition|45298098|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Test Drive|Standard Edition|45298098|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|160x600|Financial|Standard Edition|45298018|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|300x250|Financial|Standard Edition|45298045|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|300x600|Financial|Standard Edition|45297698|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|320x50|Financial|Standard Edition|45281399|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|728x90|Financial|Standard Edition|45298091|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda2|None|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|970x250|Financial|Standard Edition|45298098|DCM,Mazda 2
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Brochure|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Configure|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Financial|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Test Drive|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Brochure|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Configure|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Test Drive|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Configure|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Financial|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Learn More|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Brochure|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Test Drive|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Configure|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Learn More|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Test Drive|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Brochure|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Configure|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Financial|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Learn More|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Test Drive|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Brochure|Standard Edition|45302400|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Configure|Standard Edition|45302400|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Financial|Standard Edition|45302400|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Learn More|Standard Edition|45302400|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Test Drive|Standard Edition|45302400|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Brochure|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Configure|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Financial|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Learn More|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Test Drive|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Brochure|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Configure|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Financial|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Learn More|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Test Drive|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Brochure|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Configure|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Financial|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Learn More|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Test Drive|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Brochure|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Configure|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Financial|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Learn More|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Test Drive|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|160x600|Financial|Standard Edition|45300591|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|300x250|Financial|Standard Edition|45302400|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|300x600|Financial|Standard Edition|45302411|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|320x50|Financial|Standard Edition|45302423|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|728x90|Brochure|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|728x90|Financial|Standard Edition|45302433|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda3|Hatchback|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|970x250|Financial|Standard Edition|45298536|DCM,Mazda 3
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Brochure|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Financial|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Learn More|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Test Drive|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Configure|Standard Edition|45301049|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Brochure|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Configure|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Test Drive|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Brochure|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Configure|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Financial|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Learn More|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Learn More|Standard Edition|45301065|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Configure|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Financial|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Learn More|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Test Drive|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Brochure|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Configure|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Financial|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Learn More|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Test Drive|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Brochure|Standard Edition|45301049|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Configure|Standard Edition|45301049|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Financial|Standard Edition|45301049|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Learn More|Standard Edition|45301049|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x250|Test Drive|Standard Edition|45301049|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Brochure|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Configure|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Financial|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Learn More|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|300x600|Test Drive|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Brochure|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Configure|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Financial|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Learn More|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|320x50|Test Drive|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Brochure|Standard Edition|45301065|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Configure|Standard Edition|45301065|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Financial|Standard Edition|45301065|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Learn More|Standard Edition|45301065|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|728x90|Test Drive|Standard Edition|45301065|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Brochure|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Configure|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Financial|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Learn More|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|970x250|Test Drive|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|160x600|Financial|Standard Edition|45301045|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|300x250|Financial|Standard Edition|45301049|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|300x600|Financial|Standard Edition|45301055|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|320x50|Financial|Standard Edition|45301060|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|728x90|Financial|Standard Edition|45301065|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|Mazda6|Saloon|Consumer|Inmarket|Retargeting|Retargeting|Awareness|BAU|970x250|Financial|Standard Edition|45300574|DCM,Mazda 6
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Configure|Sport|45301078|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x250|Brochure|Sport|45301082|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Brochure|Sport|45302104|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Configure|Sport|45302104|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Brochure|Sport|45302106|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Configure|Sport|45302106|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|320x50|Test Drive|Sport|45302106|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Brochure|Sport|45300581|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|728x90|Configure|Sport|45300581|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Configure|Sport|45300587|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Contextual|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Configure|Sport|45301078|DCM,CX-3 & CX-5
P3|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
