Placement,Model
PKB53P_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,CX-3 & CX-5
PKB59W_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,CX-3 & CX-5
PKB59X_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,CX-3 & CX-5
PKB5B1_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,CX-3 & CX-5
PKB5B3_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,CX-3 & CX-5
PKB5Q9_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,CX-3 & CX-5
PKB5QB_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,CX-3 & CX-5
PKB5QF_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,CX-3 & CX-5
PKB5QJ_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,CX-3 & CX-5
PKB5QL_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,CX-3 & CX-5
