Placement,Site Name
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,Haymarket PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Standard Edition|45283388|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Standard Edition|45283388|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Standard Edition|45283388|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45299897|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45299897|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Standard Edition|45301005|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Standard Edition|45301005|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Standard Edition|45301005|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45300531|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45300531|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45300531|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Standard Edition|45298045|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Standard Edition|45298045|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Standard Edition|45298045|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45297698|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45297698|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45297698|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Standard Edition|45281399|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Standard Edition|45281399|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Standard Edition|45281399|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45298098|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45298098|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Standard Edition|45302400|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Standard Edition|45302400|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Standard Edition|45302400|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45302411|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45302411|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45302411|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Standard Edition|45302423|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Standard Edition|45302423|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Standard Edition|45302423|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45298536|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Standard Edition|45301049|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Standard Edition|45301049|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Standard Edition|45301049|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45301055|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Standard Edition|45301060|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Standard Edition|45301060|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Standard Edition|45301060|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45300574|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45300574|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45300574|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Sport|45302106|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Sport|45302106|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Sport|45302106|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Sport|45302106|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,Parkers PMP
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,The Trade Desk
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Configure|Sport|45301078|DCM,The Trade Desk
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,The Trade Desk
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,The Trade Desk
P2|Mazda|UK|Programmatic|Tradedesk|All|CX-3|None|Consumer|Inmarket|Prospecting|Lookalike|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,The Trade Desk
