Activity,ActivityName
SAGE France_CIEL_TryBuy_CONV_ITRS_,SAGE France_CIEL_TryBuy_CONV_ITRS_
SAGE France_Sage50cloudCiel|ComptaGestion-Standard_Black Friday_CONV,SAGE France_Sage50cloudCiel|ComptaGestion-Standard_Black Friday_CONV
SAGE_FRANCE_CIEL_Bouton_WCB_CONV_CONT_,SAGE_FRANCE_CIEL_Bouton_WCB_CONV_CONT_
SAGE_IRE 50c Product Page_LP,SAGE_IRE 50c Product Page_LP
SAGE_IRE Sage50c Trial_LP,SAGE_IRE Sage50c Trial_LP
Sage 200 Standard Online Landing Page_v2,Sage 200 Standard Online Landing Page_v2
Sage One Accounting _FOM*** - UVI3_OC_v2,Sage One Accounting _FOM*** - UVI3_OC_v2
SageOne_Start Your Free Trial_OC,SageOne_Start Your Free Trial_OC
Sage One Free Trial Confirmation_ITRS_,Sage One Free Trial Confirmation_ITRS_
Sage One Start Confirmation_OC_ITRS,Sage One Start Confirmation_OC_ITRS
Sage One Start Landing Page,Sage One Start Landing Page
Sage_UK_My_Sage_CustomerSupport_LP,Sage_UK_My_Sage_CustomerSupport_LP
Payroll Year End|FY18|Q1|LP|sageone.ie/payroll-year-end/,Payroll Year End|FY18|Q1|LP|sageone.ie/payroll-year-end/
Sage One Added a Second Service_IBUY_,Sage One Added a Second Service_IBUY_
Sage_Micropay Ireland LP,Sage_Micropay Ireland LP
Sage Pay_Mail Telephone Order Payments Landing Page,Sage Pay_Mail Telephone Order Payments Landing Page
Sage XRT Landing Page_PT_OPL,Sage XRT Landing Page_PT_OPL
SageOne_Accounting Trial_ITRS_PT_OC_CONV,SageOne_Accounting Trial_ITRS_PT_OC_CONV
Sage_HR&Payroll Landing Page_PT_OPL,Sage_HR&Payroll Landing Page_PT_OPL
Accountants|FY17|Q4|LP|partner-edition-accountants,Accountants|FY17|Q4|LP|partner-edition-accountants
P&P|FY17|Q4|TY|clients/sageuk/?app=50payroll_ITRS_,P&P|FY17|Q4|TY|clients/sageuk/?app=50payroll_ITRS_
Payments|FY17|Q4|TY|our-payment-solutions/thank-you_CONT_,Payments|FY17|Q4|TY|our-payment-solutions/thank-you_CONT_
Payments|FY18|Q3|FP|fees,Payments|FY18|Q3|FP|fees
Payments|FY18|Q3|FP|security,Payments|FY18|Q3|FP|security
SageTienda_Cart Step1_INQ_ES_OPL,SageTienda_Cart Step1_INQ_ES_OPL
